Date,Open,High,Low,Close,Adj Close,Volume
03/12/19,1393.150024,1399.98999,1384.900024,1392.530029,1392.530029,9604
04/12/19,1399,1405,1386.859985,1394.680054,1394.680054,16848
05/12/19,1399,1404.890015,1375.01001,1381.98999,1381.98999,12202
06/12/19,1370.099976,1390,1370.099976,1381.290039,1381.290039,18190
09/12/19,1374.400024,1391,1367.050049,1376.630005,1376.630005,63525
10/12/19,1378.48999,1402,1372.630005,1399.790039,1399.790039,43085
11/12/19,1402,1413.880005,1381,1390.939941,1390.939941,63063
13/12/19,1394.410034,1401.189941,1382.780029,1387.079956,1387.079956,14049
16/12/19,1387.079956,1408,1387.079956,1400.069946,1400.069946,25132
17/12/19,1388.170044,1404.97998,1386,1398.599976,1398.599976,76886
18/12/19,1402.089966,1428.98999,1391.849976,1394.869995,1394.869995,44321
19/12/19,1399.180054,1412.97998,1394.869995,1401.27002,1401.27002,29265
20/12/19,1400.01001,1424,1391,1401.300049,1401.300049,201474
23/12/19,1398.439941,1408.920044,1385.219971,1390.02002,1390.02002,11536
24/12/19,1395.900024,1395.900024,1387.01001,1391.030029,1391.030029,1691
26/12/19,1397.969971,1404.849976,1384,1393.589966,1393.589966,5460
27/12/19,1399.969971,1404.699951,1372,1384.930054,1384.930054,11956
30/12/19,1399.430054,1399.430054,1380.660034,1390.349976,1390.349976,6477
31/12/19,1390.349976,1390.349976,1390.349976,1390.349976,1390.349976,0
02/01/20,1400,1412,1383.849976,1387.47998,1387.47998,6660
03/01/20,1384.359985,1408.349976,1380.01001,1383.76001,1383.76001,6871
06/01/20,1388.449951,1407,1383.02002,1393.150024,1393.150024,50807
07/01/20,1391.01001,1415.900024,1391,1400.530029,1400.530029,96624
08/01/20,1399.51001,1407,1390.25,1397.670044,1397.670044,31925
09/01/20,1398.180054,1409.98999,1384.050049,1389.98999,1389.98999,34056
13/01/20,1386.699951,1398.920044,1384,1386.839966,1386.839966,6582
14/01/20,1385.02002,1400.02002,1377.150024,1397.77002,1397.77002,39307
15/01/20,1398.910034,1400.98999,1390.619995,1394.699951,1394.699951,74351
16/01/20,1394.76001,1402,1389.180054,1399.75,1399.75,58954
17/01/20,1394.02002,1406,1393.48999,1399.800049,1399.800049,27693
